EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	08:25:05	0	0.0200	0.28437047672617355	0.09684550387192493	0.5122	0.085	0.1458	0.0787
2	08:25:30	0	0.0200	0.14025028330065328	0.029944043700953916	0.8334	0.7872	0.8096	0.6819
3	08:25:55	0	0.0200	0.08921818659110743	0.015639182981947358	0.9252	0.93	0.9276	0.865
4	08:26:24	1	0.0200	0.0661699414197095	0.009761471398987013	0.91	0.941	0.9252	0.8608
5	08:26:56	0	0.0200	0.049921745374182765	0.005727474084001412	0.9708	0.9809	0.9758	0.9528
6	08:27:27	1	0.0200	0.04360577128668153	0.004851749825884412	0.9668	0.9757	0.9712	0.944
7	08:27:56	2	0.0200	0.03699763103995853	0.005015194173597668	0.9796	0.9699	0.9747	0.9507
8	08:28:29	0	0.0200	0.03143058780682741	0.0034204665063119113	0.9805	0.9879	0.9842	0.9688
9	08:29:01	1	0.0200	0.02859592078449163	0.006152148921022289	0.99	0.974	0.9819	0.9645
10	08:29:31	0	0.0200	0.026099354676140593	0.002728493421385945	0.9873	0.9861	0.9867	0.9737
